State_name,County_name,Concat,CrimeRate,CrimeRate,LAND_AREA,Tot_Population_ACS_14_18,PopulationDensity(P/sqMi),Median_Age_ACS_14_18,Poverty%2018
PuertoRicoCommonwealth,HormiguerosMunicipio,PuertoRicoCommonwealthHormiguerosMunicipio,#N/A,#N/A,11.345,16180,"1,426.18",45.8,41%
PuertoRicoCommonwealth,CanóvanasMunicipio,PuertoRicoCommonwealthCanóvanasMunicipio,#N/A,#N/A,32.864,46108,"1,402.99",39.1,43%
PuertoRicoCommonwealth,LoízaMunicipio,PuertoRicoCommonwealthLoízaMunicipio,#N/A,#N/A,19.367,26463,"1,366.40",38.9,51%
PuertoRicoCommonwealth,VegaAltaMunicipio,PuertoRicoCommonwealthVegaAltaMunicipio,#N/A,#N/A,27.73,37724,"1,360.40",38.6,47%
PuertoRicoCommonwealth,BarcelonetaMunicipio,PuertoRicoCommonwealthBarcelonetaMunicipio,#N/A,#N/A,18.693,24299,"1,299.90",39.9,50%
PuertoRicoCommonwealth,PonceMunicipio,PuertoRicoCommonwealthPonceMunicipio,#N/A,#N/A,114.763,143926,"1,254.12",40.4,50%
PuertoRicoCommonwealth,AguadaMunicipio,PuertoRicoCommonwealthAguadaMunicipio,#N/A,#N/A,30.849,38643,"1,252.65",42.3,51%
PuertoRicoCommonwealth,ArroyoMunicipio,PuertoRicoCommonwealthArroyoMunicipio,#N/A,#N/A,15.009,18111,"1,206.68",39.6,58%
PuertoRicoCommonwealth,HumacaoMunicipio,PuertoRicoCommonwealthHumacaoMunicipio,#N/A,#N/A,44.756,53466,"1,194.61",42.1,44%
PuertoRicoCommonwealth,VegaBajaMunicipio,PuertoRicoCommonwealthVegaBajaMunicipio,#N/A,#N/A,45.858,53371,"1,163.83",40.7,45%
Oklahoma,TulsaCounty,OklahomaTulsa,#N/A,#N/A,570.235,642781,"1,127.22",35.5,15%
PuertoRicoCommonwealth,CidraMunicipio,PuertoRicoCommonwealthCidraMunicipio,#N/A,#N/A,36.022,40343,"1,119.95",39.8,42%
PuertoRicoCommonwealth,LasPiedrasMunicipio,PuertoRicoCommonwealthLasPiedrasMunicipio,#N/A,#N/A,33.879,37768,"1,114.79",39,43%
Oklahoma,OklahomaCounty,OklahomaOklahoma,#N/A,#N/A,708.828,782051,"1,103.30",34.5,16%
PuertoRicoCommonwealth,FajardoMunicipio,PuertoRicoCommonwealthFajardoMunicipio,#N/A,#N/A,29.863,32001,"1,071.59",41.2,44%
PuertoRicoCommonwealth,QuebradillasMunicipio,PuertoRicoCommonwealthQuebradillasMunicipio,#N/A,#N/A,22.683,24036,"1,059.65",40.4,52%
PuertoRicoCommonwealth,NaranjitoMunicipio,PuertoRicoCommonwealthNaranjitoMunicipio,#N/A,#N/A,27.401,28557,"1,042.19",39.4,46%
PuertoRicoCommonwealth,RincónMunicipio,PuertoRicoCommonwealthRincónMunicipio,#N/A,#N/A,14.288,14269,998.67,45.4,42%
PuertoRicoCommonwealth,MayagüezMunicipio,PuertoRicoCommonwealthMayagüezMunicipio,#N/A,#N/A,77.648,77255,994.94,40.7,52%
Louisiana,EastBatonRouge,LouisianaEastBatonRouge,2606,#N/A,455.384,444094,975.21,33.7,18%
PuertoRicoCommonwealth,HatilloMunicipio,PuertoRicoCommonwealthHatilloMunicipio,#N/A,#N/A,41.78,40390,966.73,41.5,46%
Louisiana,Lafayette,LouisianaLafayette,1147,#N/A,268.719,240091,893.46,34.9,16%
PuertoRicoCommonwealth,ManatíMunicipio,PuertoRicoCommonwealthManatíMunicipio,#N/A,#N/A,45.131,39692,879.48,41.5,46%
PuertoRicoCommonwealth,AguasBuenasMunicipio,PuertoRicoCommonwealthAguasBuenasMunicipio,#N/A,#N/A,30.084,26275,873.39,41.4,50%
PuertoRicoCommonwealth,CayeyMunicipio,PuertoRicoCommonwealthCayeyMunicipio,#N/A,#N/A,51.936,44530,857.4,42.4,43%
PuertoRicoCommonwealth,BarranquitasMunicipio,PuertoRicoCommonwealthBarranquitasMunicipio,#N/A,#N/A,34.252,28755,839.51,36.4,58%
PuertoRicoCommonwealth,RíoGrandeMunicipio,PuertoRicoCommonwealthRíoGrandeMunicipio,#N/A,#N/A,60.622,50550,833.86,40.7,38%
PuertoRicoCommonwealth,MorovisMunicipio,PuertoRicoCommonwealthMorovisMunicipio,#N/A,#N/A,38.873,31320,805.7,37.9,45%
PuertoRicoCommonwealth,CorozalMunicipio,PuertoRicoCommonwealthCorozalMunicipio,#N/A,#N/A,42.57,34165,802.56,39,56%
PuertoRicoCommonwealth,FloridaMunicipio,PuertoRicoCommonwealthFloridaMunicipio,#N/A,#N/A,15.21,11910,783.04,39.8,52%
PuertoRicoCommonwealth,JuanaDíazMunicipio,PuertoRicoCommonwealthJuanaDíazMunicipio,#N/A,#N/A,60.276,46960,779.08,38.1,46%
PuertoRicoCommonwealth,IsabelaMunicipio,PuertoRicoCommonwealthIsabelaMunicipio,#N/A,#N/A,55.303,42420,767.05,41.6,55%
PuertoRicoCommonwealth,AibonitoMunicipio,PuertoRicoCommonwealthAibonitoMunicipio,#N/A,#N/A,31.311,23457,749.16,41.6,46%
PuertoRicoCommonwealth,MocaMunicipio,PuertoRicoCommonwealthMocaMunicipio,#N/A,#N/A,50.344,36872,732.4,39.5,57%
PuertoRicoCommonwealth,LuquilloMunicipio,PuertoRicoCommonwealthLuquilloMunicipio,#N/A,#N/A,25.813,18547,718.51,41.2,45%
PuertoRicoCommonwealth,SanLorenzoMunicipio,PuertoRicoCommonwealthSanLorenzoMunicipio,#N/A,#N/A,53.107,37873,713.15,41,45%
PuertoRicoCommonwealth,AñascoMunicipio,PuertoRicoCommonwealthAñascoMunicipio,#N/A,#N/A,39.283,27368,696.69,41.8,43%
PuertoRicoCommonwealth,CaboRojoMunicipio,PuertoRicoCommonwealthCaboRojoMunicipio,#N/A,#N/A,70.374,49005,696.35,43.2,53%
PuertoRicoCommonwealth,CamuyMunicipio,PuertoRicoCommonwealthCamuyMunicipio,#N/A,#N/A,46.355,32222,695.11,40.8,50%
PuertoRicoCommonwealth,AreciboMunicipio,PuertoRicoCommonwealthAreciboMunicipio,#N/A,#N/A,125.944,87242,692.7,42,48%
PuertoRicoCommonwealth,ComeríoMunicipio,PuertoRicoCommonwealthComeríoMunicipio,#N/A,#N/A,28.4,19539,687.99,38.6,60%
PuertoRicoCommonwealth,SantaIsabelMunicipio,PuertoRicoCommonwealthSantaIsabelMunicipio,#N/A,#N/A,34.023,22066,648.56,37.8,47%
PuertoRicoCommonwealth,VillalbaMunicipio,PuertoRicoCommonwealthVillalbaMunicipio,#N/A,#N/A,35.637,22993,645.2,38.8,48%
PuertoRicoCommonwealth,SabanaGrandeMunicipio,PuertoRicoCommonwealthSabanaGrandeMunicipio,#N/A,#N/A,35.834,23054,643.36,42.1,47%
PuertoRicoCommonwealth,GuayamaMunicipio,PuertoRicoCommonwealthGuayamaMunicipio,#N/A,#N/A,64.993,41706,641.7,38.5,49%
PuertoRicoCommonwealth,YabucoaMunicipio,PuertoRicoCommonwealthYabucoaMunicipio,#N/A,#N/A,55.214,34149,618.48,42.5,53%
PuertoRicoCommonwealth,SanGermánMunicipio,PuertoRicoCommonwealthSanGermánMunicipio,#N/A,#N/A,54.496,32114,589.29,43.2,51%
PuertoRicoCommonwealth,SanSebastiánMunicipio,PuertoRicoCommonwealthSanSebastiánMunicipio,#N/A,#N/A,70.425,37964,539.07,43.3,54%
PuertoRicoCommonwealth,YaucoMunicipio,PuertoRicoCommonwealthYaucoMunicipio,#N/A,#N/A,68.192,36439,534.36,43,48%
PuertoRicoCommonwealth,MaunaboMunicipio,PuertoRicoCommonwealthMaunaboMunicipio,#N/A,#N/A,21.066,11023,523.26,44.4,49%
Oklahoma,ClevelandCounty,OklahomaCleveland,#N/A,#N/A,538.769,276733,513.64,33.9,12%
PuertoRicoCommonwealth,NaguaboMunicipio,PuertoRicoCommonwealthNaguaboMunicipio,#N/A,#N/A,51.659,26266,508.45,37.7,49%
PuertoRicoCommonwealth,CoamoMunicipio,PuertoRicoCommonwealthCoamoMunicipio,#N/A,#N/A,78.015,39265,503.3,40.7,47%
PuertoRicoCommonwealth,PeñuelasMunicipio,PuertoRicoCommonwealthPeñuelasMunicipio,#N/A,#N/A,44.618,20984,470.3,37.3,56%
PuertoRicoCommonwealth,GuánicaMunicipio,PuertoRicoCommonwealthGuánicaMunicipio,#N/A,#N/A,37.05,16783,452.98,42.1,64%
PuertoRicoCommonwealth,GuayanillaMunicipio,PuertoRicoCommonwealthGuayanillaMunicipio,#N/A,#N/A,42.271,19008,449.67,41,55%
PuertoRicoCommonwealth,LaresMunicipio,PuertoRicoCommonwealthLaresMunicipio,#N/A,#N/A,61.451,26451,430.44,42.2,55%
Louisiana,Ascension,LouisianaAscension,401,#N/A,289.985,121176,417.87,35.4,12%
PuertoRicoCommonwealth,SalinasMunicipio,PuertoRicoCommonwealthSalinasMunicipio,#N/A,#N/A,69.364,28633,412.79,39.9,54%
PuertoRicoCommonwealth,CeibaMunicipio,PuertoRicoCommonwealthCeibaMunicipio,#N/A,#N/A,29.037,11853,408.2,41.9,43%
PuertoRicoCommonwealth,LajasMunicipio,PuertoRicoCommonwealthLajasMunicipio,#N/A,#N/A,59.951,23315,388.9,44,61%
PuertoRicoCommonwealth,PatillasMunicipio,PuertoRicoCommonwealthPatillasMunicipio,#N/A,#N/A,46.699,17334,371.19,43.9,53%
PuertoRicoCommonwealth,OrocovisMunicipio,PuertoRicoCommonwealthOrocovisMunicipio,#N/A,#N/A,63.619,21407,336.49,38.9,57%
PuertoRicoCommonwealth,JayuyaMunicipio,PuertoRicoCommonwealthJayuyaMunicipio,#N/A,#N/A,44.533,14906,334.72,37.8,59%
Louisiana,St.Tammany,LouisianaSt.Tammany,410,#N/A,845.547,252093,298.14,40.1,11%
Louisiana,Caddo,LouisianaCaddo,1723,#N/A,878.525,248361,282.7,37.4,23%
PuertoRicoCommonwealth,AdjuntasMunicipio,PuertoRicoCommonwealthAdjuntasMunicipio,#N/A,#N/A,66.689,18181,272.62,40.9,62%
PuertoRicoCommonwealth,UtuadoMunicipio,PuertoRicoCommonwealthUtuadoMunicipio,#N/A,#N/A,113.527,29402,258.99,42.8,52%
Louisiana,Ouachita,LouisianaOuachita,2083,#N/A,610.403,156075,255.69,35.4,23%
PuertoRicoCommonwealth,CialesMunicipio,PuertoRicoCommonwealthCialesMunicipio,#N/A,#N/A,66.53,16912,254.2,41.9,55%
Louisiana,Livingston,LouisianaLivingston,486,#N/A,648.168,138111,213.08,36.3,12%
Louisiana,St.JohntheBaptist,LouisianaSt.JohntheBaptist,63,#N/A,213.07,43446,203.9,36.6,19%
Louisiana,St.Charles,LouisianaSt.Charles,175,#N/A,279.084,52724,188.92,37.6,11%
Louisiana,Calcasieu,LouisianaCalcasieu,1237,#N/A,1063.656,200182,188.2,36,17%
PuertoRicoCommonwealth,LasMaríasMunicipio,PuertoRicoCommonwealthLasMaríasMunicipio,#N/A,#N/A,46.36,8599,185.48,41.1,57%
Alaska,AnchorageMunicipality,AlaskaAnchorageMunicipality,#N/A,#N/A,1704.688,296112,173.7,33.2,9%
PuertoRicoCommonwealth,ViequesMunicipio,PuertoRicoCommonwealthViequesMunicipio,#N/A,#N/A,50.768,8771,172.77,43.6,41%
PuertoRicoCommonwealth,MaricaoMunicipio,PuertoRicoCommonwealthMaricaoMunicipio,#N/A,#N/A,36.622,6202,169.35,43.2,64%
Louisiana,Tangipahoa,LouisianaTangipahoa,1088,#N/A,791.27,130504,164.93,35.1,21%
Oklahoma,CanadianCounty,OklahomaCanadian,#N/A,#N/A,896.626,136710,152.47,35.9,8%
Louisiana,Bossier,LouisianaBossier,605,#N/A,840.055,126131,150.15,35.1,16%
Oklahoma,WagonerCounty,OklahomaWagoner,#N/A,#N/A,561.555,77850,138.63,38.7,11%
Oklahoma,RogersCounty,OklahomaRogers,#N/A,#N/A,675.633,90814,134.41,39,9%
Louisiana,WestBatonRouge,LouisianaWestBatonRouge,89,#N/A,192.393,25860,134.41,36.2,15%
Louisiana,Iberia,LouisianaIberia,140,#N/A,574.115,72691,126.61,36.5,21%
Oklahoma,WashingtonCounty,OklahomaWashington,#N/A,#N/A,415.457,52001,125.17,40.2,14%
Louisiana,St.Bernard,LouisianaSt.Bernard,111,#N/A,377.516,45694,121.04,33.7,20%
Oklahoma,PayneCounty,OklahomaPayne,#N/A,#N/A,684.702,81512,119.05,27.1,24%
Oklahoma,ComancheCounty,OklahomaComanche,#N/A,#N/A,1069.286,122561,114.62,33,14%
PuertoRicoCommonwealth,CulebraMunicipio,PuertoRicoCommonwealthCulebraMunicipio,#N/A,#N/A,11.624,1314,113.04,42.8,41%
Louisiana,Lincoln,LouisianaLincoln,182,#N/A,471.742,47356,100.39,27.8,28%
Louisiana,Rapides,LouisianaRapides,1315,#N/A,1317.963,131546,99.81,37.3,19%
NorthDakota,CassCounty,NorthDakotaCass,#N/A,#N/A,1764.939,174202,98.7,32.2,10%
Louisiana,Acadia,LouisianaAcadia,274,#N/A,655.117,62568,95.51,36.2,23%
Louisiana,St.Mary,LouisianaSt.Mary,273,#N/A,555.377,51734,93.15,39.1,19%
Louisiana,Lafourche,LouisianaLafourche,273,#N/A,1068.212,98214,91.94,37.5,15%
Oklahoma,PottawatomieCounty,OklahomaPottawatomie,#N/A,#N/A,787.671,72000,91.41,37.5,16%
Louisiana,Terrebonne,LouisianaTerrebonne,459,#N/A,1231.816,112587,91.4,35.8,21%
Louisiana,St.Landry,LouisianaSt.Landry,533,#N/A,923.883,83449,90.32,36.3,28%
Louisiana,St.James,LouisianaSt.James,106,#N/A,241.538,21357,88.42,39.9,17%
Oklahoma,MuskogeeCounty,OklahomaMuskogee,#N/A,#N/A,810.454,69084,85.24,37.9,20%
Oklahoma,CreekCounty,OklahomaCreek,#N/A,#N/A,950.141,71160,74.89,40.2,15%
Louisiana,St.Martin,LouisianaSt.Martin,133,#N/A,737.647,53752,72.87,37.1,17%
Louisiana,Washington,LouisianaWashington,313,#N/A,669.527,46457,69.39,39.5,26%
Oklahoma,McClainCounty,OklahomaMcClain,#N/A,#N/A,570.703,38634,67.7,38.4,9%
Louisiana,Assumption,LouisianaAssumption,73,#N/A,338.66,22714,67.07,40.5,17%
Oklahoma,OttawaCounty,OklahomaOttawa,#N/A,#N/A,470.821,31566,67.04,38.1,21%
Louisiana,Webster,LouisianaWebster,143,#N/A,593.03,39631,66.83,40.8,26%
Oklahoma,CherokeeCounty,OklahomaCherokee,#N/A,#N/A,749.403,48599,64.85,35.1,20%
Oklahoma,MayesCounty,OklahomaMayes,#N/A,#N/A,655.386,40980,62.53,40.3,17%
Oklahoma,LoganCounty,OklahomaLogan,#N/A,#N/A,743.832,46044,61.9,37.8,12%
Oklahoma,SequoyahCounty,OklahomaSequoyah,#N/A,#N/A,673.27,41359,61.43,41,23%
Oklahoma,CarterCounty,OklahomaCarter,#N/A,#N/A,822.177,48406,58.88,38.2,17%
Oklahoma,GarfieldCounty,OklahomaGarfield,#N/A,#N/A,1058.469,62190,58.75,36,14%
NorthDakota,BurleighCounty,NorthDakotaBurleigh,#N/A,#N/A,1632.656,93737,57.41,36.9,8%
Oklahoma,DelawareCounty,OklahomaDelaware,#N/A,#N/A,738.177,42112,57.05,46.7,19%
NewMexico,DoñaAnaCounty,NewMexicoDoñaAna,#N/A,#N/A,3807.514,215338,56.56,32.9,27%
Oklahoma,OkmulgeeCounty,OklahomaOkmulgee,#N/A,#N/A,697.347,38889,55.77,39.1,19%
Louisiana,Iberville,LouisianaIberville,364,#N/A,618.626,32956,53.27,38.3,16%
Oklahoma,PontotocCounty,OklahomaPontotoc,#N/A,#N/A,720.435,38358,53.24,35.6,15%
Louisiana,Vermilion,LouisianaVermilion,232,#N/A,1173.2,59867,51.03,37.4,17%
Louisiana,Evangeline,LouisianaEvangeline,57,#N/A,662.377,33636,50.78,35.4,26%
Oklahoma,BryanCounty,OklahomaBryan,#N/A,#N/A,904.47,45759,50.59,37.5,16%
Oklahoma,StephensCounty,OklahomaStephens,#N/A,#N/A,870.244,43983,50.54,40.5,14%
Oklahoma,GradyCounty,OklahomaGrady,#N/A,#N/A,1100.499,54733,49.73,38.9,11%
Louisiana,Avoyelles,LouisianaAvoyelles,227,#N/A,832.438,40882,49.11,37.9,22%
NorthDakota,GrandForksCounty,NorthDakotaGrandForks,#N/A,#N/A,1436.373,70400,49.01,29.5,16%
Oklahoma,KayCounty,OklahomaKay,#N/A,#N/A,919.73,44880,48.8,38.6,17%
Louisiana,JeffersonDavis,LouisianaJeffersonDavis,75,#N/A,651.328,31467,48.31,37.7,19%
Oklahoma,MarshallCounty,OklahomaMarshall,#N/A,#N/A,371.079,16376,44.13,42.6,16%
Louisiana,EastFeliciana,LouisianaEastFeliciana,85,#N/A,453.409,19499,43.01,43,16%
Louisiana,PointeCoupee,LouisianaPointeCoupee,107,#N/A,557.347,22158,39.76,42.9,18%
Oklahoma,SeminoleCounty,OklahomaSeminole,#N/A,#N/A,632.836,25071,39.62,39.2,20%
Oklahoma,AdairCounty,OklahomaAdair,#N/A,#N/A,573.477,22113,38.56,37.6,29%
Louisiana,Vernon,LouisianaVernon,141,#N/A,1327.907,51007,38.41,30.1,16%
Louisiana,WestFeliciana,LouisianaWestFeliciana,40,#N/A,403.213,15377,38.14,40.6,12%
Louisiana,Richland,LouisianaRichland,87,#N/A,559.042,20474,36.62,38.5,28%
Oklahoma,LincolnCounty,OklahomaLincoln,#N/A,#N/A,952.312,34854,36.6,41.2,14%
Louisiana,Grant,LouisianaGrant,12,#N/A,643.026,22348,34.75,38.3,17%
Oklahoma,GarvinCounty,OklahomaGarvin,#N/A,#N/A,802.121,27823,34.69,39.2,16%
NorthDakota,WardCounty,NorthDakotaWard,#N/A,#N/A,2013.286,69034,34.29,31.4,9%
Oklahoma,PittsburgCounty,OklahomaPittsburg,#N/A,#N/A,1305.465,44382,34,40.6,17%
Louisiana,Allen,LouisianaAllen,27,#N/A,761.845,25661,33.68,38.3,15%
Oklahoma,MurrayCounty,OklahomaMurray,#N/A,#N/A,416.458,13875,33.32,43,14%
Louisiana,Morehouse,LouisianaMorehouse,151,#N/A,794.933,25992,32.7,39.6,28%
Louisiana,Franklin,LouisianaFranklin,24,#N/A,624.584,20322,32.54,38.5,27%
Oklahoma,McIntoshCounty,OklahomaMcIntosh,#N/A,#N/A,618.495,19819,32.04,47.3,21%
Louisiana,Beauregard,LouisianaBeauregard,40,#N/A,1157.342,36769,31.77,37.6,17%
Oklahoma,JacksonCounty,OklahomaJackson,#N/A,#N/A,802.652,25384,31.63,34.2,17%
Oklahoma,LeFloreCounty,OklahomaLeFlore,#N/A,#N/A,1589.212,49909,31.4,39.4,21%
Louisiana,Natchitoches,LouisianaNatchitoches,249,#N/A,1252.25,38963,31.11,33.7,33%
Louisiana,WestCarroll,LouisianaWestCarroll,46,#N/A,359.646,11180,31.09,39.8,22%
Louisiana,DeSoto,LouisianaDeSoto,122,#N/A,875.581,27216,31.08,39.7,25%
Louisiana,Plaquemines,LouisianaPlaquemines,35,#N/A,779.912,23373,29.97,36.2,19%
Oklahoma,CusterCounty,OklahomaCuster,#N/A,#N/A,988.819,29209,29.54,31,17%
Oklahoma,PawneeCounty,OklahomaPawnee,#N/A,#N/A,567.952,16428,28.92,41.9,15%
Louisiana,Concordia,LouisianaConcordia,148,#N/A,696.921,20021,28.73,37.8,25%
Louisiana,Jackson,LouisianaJackson,20,#N/A,569.182,15926,27.98,40.3,24%
Louisiana,Sabine,LouisianaSabine,26,#N/A,866.662,24088,27.79,40.9,19%
Louisiana,Union,LouisianaUnion,61,#N/A,876.99,22475,25.63,41.7,18%
Louisiana,St.Helena,LouisianaSt.Helena,35,#N/A,408.404,10411,25.49,38.9,21%
Oklahoma,BeckhamCounty,OklahomaBeckham,#N/A,#N/A,901.804,22621,25.08,35.7,13%
Louisiana,LaSalle,LouisianaLaSalle,37,#N/A,624.684,14949,23.93,38,20%
NorthDakota,StarkCounty,NorthDakotaStark,#N/A,#N/A,1334.736,30876,23.13,33.9,9%
Oklahoma,CaddoCounty,OklahomaCaddo,#N/A,#N/A,1278.29,29342,22.95,37.3,19%
Louisiana,RedRiver,LouisianaRedRiver,44,#N/A,389.091,8618,22.15,38.7,23%
Oklahoma,HaskellCounty,OklahomaHaskell,#N/A,#N/A,576.522,12704,22.04,40.6,19%
Louisiana,Claiborne,LouisianaClaiborne,20,#N/A,754.878,16153,21.4,42.2,27%
Oklahoma,OsageCounty,OklahomaOsage,#N/A,#N/A,2246.358,47311,21.06,42.1,16%
Oklahoma,OkfuskeeCounty,OklahomaOkfuskee,#N/A,#N/A,618.568,12115,19.59,40,22%
Oklahoma,LoveCounty,OklahomaLove,#N/A,#N/A,513.997,9933,19.33,40.1,13%
Oklahoma,ChoctawCounty,OklahomaChoctaw,#N/A,#N/A,770.356,14886,19.32,42,29%
Oklahoma,CraigCounty,OklahomaCraig,#N/A,#N/A,761.353,14493,19.04,42.3,17%
Louisiana,Caldwell,LouisianaCaldwell,22,#N/A,529.425,9996,18.88,40.1,26%
Louisiana,Madison,LouisianaMadison,68,#N/A,624.436,11472,18.37,35.1,32%
Oklahoma,NowataCounty,OklahomaNowata,#N/A,#N/A,565.775,10383,18.35,42.3,17%
Oklahoma,McCurtainCounty,OklahomaMcCurtain,#N/A,#N/A,1850.006,32966,17.82,38.8,22%
Oklahoma,KingfisherCounty,OklahomaKingfisher,#N/A,#N/A,898.163,15618,17.39,36.2,11%
Louisiana,EastCarroll,LouisianaEastCarroll,47,#N/A,420.704,7225,17.17,33,31%
Oklahoma,JohnstonCounty,OklahomaJohnston,#N/A,#N/A,642.938,11041,17.17,39.8,20%
Oklahoma,WoodwardCounty,OklahomaWoodward,#N/A,#N/A,1242.4,20967,16.88,36.3,11%
Louisiana,Bienville,LouisianaBienville,54,#N/A,811.268,13668,16.85,41.6,28%
Oklahoma,HughesCounty,OklahomaHughes,#N/A,#N/A,804.646,13460,16.73,39,19%
NorthDakota,WilliamsCounty,NorthDakotaWilliams,#N/A,#N/A,2077.403,34061,16.4,31.5,7%
NorthDakota,RoletteCounty,NorthDakotaRolette,#N/A,#N/A,903.078,14603,16.17,30.8,29%
NorthDakota,MortonCounty,NorthDakotaMorton,#N/A,#N/A,1926.272,30544,15.86,37.7,8%
Oklahoma,NobleCounty,OklahomaNoble,#N/A,#N/A,731.896,11411,15.59,41.6,12%
Louisiana,Winn,LouisianaWinn,71,#N/A,950.085,14494,15.26,40.8,21%
Oklahoma,LatimerCounty,OklahomaLatimer,#N/A,#N/A,722.082,10495,14.53,41.3,18%
Oklahoma,AtokaCounty,OklahomaAtoka,#N/A,#N/A,975.518,13874,14.22,40.6,18%
Louisiana,Catahoula,LouisianaCatahoula,38,#N/A,708.028,9893,13.97,38.1,19%
Alaska,FairbanksNorthStarBorough,AlaskaFairbanksNorthStarBorough,#N/A,#N/A,7338.209,99653,13.58,31.1,8%
Alaska,JuneauCityandBorough,AlaskaJuneauCityandBorough,#N/A,#N/A,2701.931,32330,11.97,38.1,8%
Oklahoma,WashitaCounty,OklahomaWashita,#N/A,#N/A,1003.165,11432,11.4,38.9,13%
NorthDakota,RichlandCounty,NorthDakotaRichland,#N/A,#N/A,1435.779,16288,11.34,37.8,9%
Oklahoma,CoalCounty,OklahomaCoal,#N/A,#N/A,516.682,5618,10.87,41.6,22%
Oklahoma,BlaineCounty,OklahomaBlaine,#N/A,#N/A,928.426,9634,10.38,42.4,11%
Oklahoma,TexasCounty,OklahomaTexas,#N/A,#N/A,2041.264,21121,10.35,32.1,17%
NorthDakota,RamseyCounty,NorthDakotaRamsey,#N/A,#N/A,1186.856,11557,9.74,41.6,11%
NorthDakota,StutsmanCounty,NorthDakotaStutsman,#N/A,#N/A,2221.722,21064,9.48,40.2,11%
Oklahoma,CottonCounty,OklahomaCotton,#N/A,#N/A,632.655,5929,9.37,42.9,17%
NorthDakota,TraillCounty,NorthDakotaTraill,#N/A,#N/A,861.949,8019,9.3,41.3,6%
Oklahoma,GreerCounty,OklahomaGreer,#N/A,#N/A,639.324,5943,9.3,41.2,18%
Oklahoma,KiowaCounty,OklahomaKiowa,#N/A,#N/A,1015.225,9001,8.87,43.1,22%
Oklahoma,TillmanCounty,OklahomaTillman,#N/A,#N/A,871.134,7515,8.63,41.2,21%
NorthDakota,WalshCounty,NorthDakotaWalsh,#N/A,#N/A,1281.931,10802,8.43,44.4,9%
NorthDakota,MercerCounty,NorthDakotaMercer,#N/A,#N/A,1042.957,8570,8.22,43.9,7%
Oklahoma,JeffersonCounty,OklahomaJefferson,#N/A,#N/A,758.832,6223,8.2,41.9,22%
Oklahoma,MajorCounty,OklahomaMajor,#N/A,#N/A,954.988,7718,8.08,41.1,12%
Oklahoma,PushmatahaCounty,OklahomaPushmataha,#N/A,#N/A,1395.836,11119,7.97,44.6,18%
Louisiana,Tensas,LouisianaTensas,7,#N/A,602.784,4666,7.74,43.5,40%
NorthDakota,BarnesCounty,NorthDakotaBarnes,#N/A,#N/A,1491.553,10836,7.26,44.9,10%
Oklahoma,WoodsCounty,OklahomaWoods,#N/A,#N/A,1286.453,9127,7.09,33.9,12%
